iter	Logloss
0	0.6925239791
1	0.6919165057
2	0.6914207321
3	0.6907925177
4	0.6902188512
5	0.6896291493
6	0.6891099393
7	0.6885396992
8	0.6880557123
9	0.6875946593
10	0.6871608346
11	0.6865882188
12	0.6858977815
13	0.6855269107
14	0.6849367975
15	0.6844307905
16	0.6840624781
17	0.6835473797
18	0.6831145144
19	0.6825948932
20	0.6819865061
21	0.6814432658
22	0.6808413203
23	0.6804797235
24	0.6799018083
25	0.6792979897
26	0.6788628401
27	0.6783093664
28	0.6777603241
29	0.6772289619
30	0.6766627877
31	0.676103512
32	0.6754699524
33	0.6748805246
34	0.6742676604
35	0.6736750346
36	0.6730793936
37	0.6725797368
38	0.6721091813
39	0.6715861794
40	0.6710662385
41	0.670701124
42	0.6701397011
43	0.6696391762
44	0.6690777533
45	0.6686443397
46	0.6680610337
47	0.6675350166
48	0.6669507055
49	0.6664764953
50	0.6659408843
51	0.6653870908
52	0.6648300993
53	0.6642780418
54	0.6638257603
55	0.6633852199
56	0.6629995015
57	0.6623926677
58	0.6620598068
59	0.6615657235
60	0.6609958032
61	0.6604746287
62	0.6599570634
63	0.6594630259
64	0.6590225311
65	0.6584549864
66	0.6581063642
67	0.657591677
68	0.6571174667
69	0.6566113226
70	0.6560869959
71	0.6556793487
72	0.6552566254
73	0.6546263552
74	0.6541715154
75	0.6536890818
76	0.6532080188
77	0.6527121995
78	0.6521642536
79	0.6517332614
80	0.6512083408
81	0.6506934252
82	0.6501976516
83	0.6497632786
84	0.6492907587
85	0.6487552848
86	0.6484007693
87	0.6478360113
88	0.6473203191
89	0.6468001497
90	0.6464445834
91	0.6459601397
92	0.6455259951
93	0.645040455
94	0.6445360469
95	0.6440001619
96	0.6434678403
97	0.6429722495
98	0.6425779423
99	0.6421965639
100	0.641758993
101	0.6412759655
102	0.6408082882
103	0.6403194587
104	0.6398822076
105	0.639422845
106	0.6390072486
107	0.6385802766
108	0.6380989851
109	0.6376371098
110	0.637127448
111	0.6366419535
112	0.6362639102
113	0.635821588
114	0.635330657
115	0.6349280352
116	0.6344014242
117	0.6338552144
118	0.6334416281
119	0.6330382753
120	0.6325375677
121	0.6320485098
122	0.6316675883
123	0.6311847436
124	0.6307968779
125	0.6304985549
126	0.6300134716
127	0.6295104798
128	0.6290132443
129	0.6285722013
130	0.6282081832
131	0.6277433384
132	0.6273199755
133	0.6268810341
134	0.6264393058
135	0.6260196435
136	0.6255638442
137	0.6251039791
138	0.6248305087
139	0.6243826129
140	0.6239503415
141	0.6235476739
142	0.6231247222
143	0.6228550894
144	0.6223741177
145	0.6220277341
146	0.6216613861
147	0.6212521399
148	0.6208281831
149	0.620390201
150	0.6199889954
151	0.6196661852
152	0.6191844826
153	0.6188294188
154	0.6183923961
155	0.6179727794
156	0.6176272181
157	0.6171809214
158	0.6167456804
159	0.6163468961
160	0.6160882276
161	0.6157610316
162	0.6153953689
163	0.614922849
164	0.6145286332
165	0.6140934379
166	0.6137037449
167	0.6133464882
168	0.612885755
169	0.6124616612
170	0.6120475723
171	0.6116242552
172	0.6111599128
173	0.6107944329
174	0.6104097195
175	0.6100208031
176	0.6096296939
177	0.6092937264
178	0.6089862664
179	0.6085721319
180	0.6081564898
181	0.6077573856
182	0.6072775104
183	0.6068591729
184	0.6064280893
185	0.6060079243
186	0.6056476524
187	0.6052847308
188	0.6048662563
189	0.6044451776
190	0.6040646673
191	0.6036741519
192	0.603254855
193	0.6028568473
194	0.6023557743
195	0.6019897004
196	0.601633997
197	0.6013010448
198	0.6009905695
199	0.6006405768
200	0.6002316047
201	0.5998824342
202	0.5994810002
203	0.5991322866
204	0.5987324058
205	0.5983108246
206	0.5979348828
207	0.5975345452
208	0.5971247507
209	0.5967359714
210	0.5963494763
211	0.5960515645
212	0.5957093838
213	0.5953887208
214	0.5950323779
215	0.5947460243
216	0.5943378289
217	0.5939437958
218	0.593703584
219	0.5934327634
220	0.5930608875
221	0.5926701894
222	0.5925631951
223	0.5922184105
224	0.5918612908
225	0.5915031662
226	0.5911500211
227	0.590786597
228	0.5904146297
229	0.5900325204
230	0.58981474
231	0.5895157317
232	0.5891789876
233	0.5887928123
234	0.5884229466
235	0.588079304
236	0.5877213621
237	0.5874024351
238	0.5870359044
239	0.5867235561
240	0.5863708679
241	0.5860079463
242	0.5857692878
243	0.5853782699
244	0.5849846937
245	0.5846786042
246	0.5843174186
247	0.5840015069
248	0.5837546708
249	0.5834013431
250	0.5830244875
251	0.5826471294
